Horodateur,[Scientific program] What did you think of the ratio between hands-on tutorials and plenary talks?,[Scientific program] Any topic(s) that you wish the conference had covered? (keywords separated by commas),[General information] Did you miss any information regarding the conference?,"If any, what type of information was missing?",[Forum] Did you use the discussion forum? (https://cuttingeeg2021.lpl-aix.fr),[Forum] Did you find the discussion forum useful?,[Forum] What would you suggest to improve the forum next time?,[Carbon footprint] Where did you travel from? (City ; Country),[Carbon footprint] How did you get to Aix-en-Provence?,[Carbon footprint] How long did you stay away from your living town? (including collabortions and presenting/attending other conferences),[Carbon footprint] How did you leave Aix-en-Provence? ,Any other comment?
13/10/2021 10:43:31,The ratio hands-on tutorials / plenary talks was just fine,,,,Yes,Yes,,Berlin ; Germany,Plane,Up to one week more,Plane,
13/10/2021 10:57:03,The ratio hands-on tutorials / plenary talks was just fine,,No,"No big deal, but it was a bit hard to navigate from the main cutting-eeg website (for all years) to the website for the 2021 meeting  and a bit hard to navigate to the cutting-EEG forum from either of those websites. Some other people had that problem as well.",Yes,Yes,,Berlin ; Germany,Train,One to two more days,Plane,Great conference :-D 
13/10/2021 10:58:03,"The ratio was fine - I would have preferred distribute tutorials and talks more evenly (e.g., tutorials in the mornings, talks in the afternoon), so to keep attention up more easily",,No,,Yes,Yes,,Maastricht ; the Netherlands,Car,One to two more days,Car,
13/10/2021 11:18:53,I would have liked more hands-on tutorials,,On the venue,"When you type in The Cube/Le Cube on google maps, it takes you to a snack chain :-) You mention the precise directions on the venue page, but it might be useful to put it on the front page as well",Yes,Yes,,Paris ; France,Train Paris>Aix TGV Bus Aix TGV>  Gare Aix Centre,Up to one week more,Same as I came!,
13/10/2021 12:21:40,The ratio hands-on tutorials / plenary talks was just fine,na,No,na,Yes,Yes,na,Cambridge ; UK,"train, plane, bus, and train",One to two more days,Same as I came!,"My health condition does not allow me to spend all day sitting in a train, therefore, I had to take the plane. If the circumstances around the pandemic would not have been so unpredictable, I might have planned the trip longer time in advance and planned longer step-overs on the way to break down a train journey into smaller parts "
13/10/2021 14:00:43,The ratio hands-on tutorials / plenary talks was just fine,,No,,No,Yes,,Grenoble ; France,Train,Just for the conference,Train,
13/10/2021 17:08:15,I would have liked more hands-on tutorials,,No,,Yes,Yes,,Paris ; France,Train,Up to one week more,Train,
15/10/2021 16:51:02,I would have liked more hands-on tutorials,,No,,Yes,Yes,,Lucca ; Italy,Car,One to two more days,Same as I came!,
20/10/2021 16:11:28,The ratio hands-on tutorials / plenary talks was just fine,computational modelling of oscillations,No,,No,No,"more organized, with catogeries",Nijmegen ; Netherlands,Plane,More than one week more,Same as I came!,
20/10/2021 18:17:46,The ratio hands-on tutorials / plenary talks was just fine,,No,,Yes,Yes,,Reykjavik ; Iceland,Plane ; Train ; Car,More than one week more,Same as I came!,
20/10/2021 23:18:04,The ratio hands-on tutorials / plenary talks was just fine,Analyses of evoked response potentials,No,,No,Yes,,New York ; United States,Plane,More than one week more,Plane,The conference was amazing! Thanks all organizers for their work. Looking forward to joining it every year!
25/10/2021 11:31:37,The ratio hands-on tutorials / plenary talks was just fine,,No,,Yes,Yes,,Potsdam ; Germany,Plane,Just for the conference,Same as I came!,"It was great, thanks again"
